Unnamed: 0,music,hastag_data,author_follower,author_heart,play
748,502,20,3481,518200,1800000
749,208,20,28600,611500,1300000
750,316,20,2342,202300,1700000
751,242,43,5847,472200,3700000
752,372,43,14400,985200,4400000
753,134,43,1700000,65300000,3500000
754,234,43,10600,541100,4000000
755,192,43,1412,306500,1900000
756,325,43,574500,10100000,2700000
757,243,43,36100,1500000,2500000
758,490,43,371700,12300000,1300000
759,258,43,14700,990900,1700000
760,49,43,12400,2300000,1700000
761,182,14,252800,5500000,49400000
762,316,14,98100,3000000,8800000
763,172,14,382500,4800000,21200000
764,316,14,115800,1900000,23300000
765,316,14,5600000,73000000,13200000
766,370,14,430700,7400000,6000000
767,280,14,83600,1200000,6300000
768,316,14,98100,3000000,4300000
769,3,14,60300,1300000,8100000
770,316,37,3400000,32600000,171700000
771,109,37,112200,12300000,66700000
772,316,37,1300000,24400000,44100000
773,290,37,12800000,254900000,48400000
774,367,37,1100000,12300000,84700000
775,133,37,2100000,86000000,26700000
776,316,37,1900000,47800000,17700000
777,315,37,108400,5700000,14200000
778,86,37,125500,3900000,17300000
779,421,37,471000,13600000,35100000
780,391,34,5098,294300,578900
781,423,34,5098,294300,546800
782,67,34,6923,119500,238200
783,350,34,6923,119500,219000
784,283,34,6923,119500,145400
785,316,34,38800,1300000,145200
786,13,34,5098,294300,120400
787,326,34,38800,1300000,98800
788,61,34,5770,178300,124900
789,368,34,38800,1300000,101600
790,188,45,327200,9200000,58300000
791,316,45,171000,9000000,35700000
792,316,45,2800000,44100000,57100000
793,405,45,394200,8100000,69400000
794,246,45,193500,6000000,31700000
795,424,45,73800,5500000,26300000
796,299,45,106100,4700000,36400000
797,316,45,124300,5300000,18600000
798,316,45,177300,7700000,27200000
799,252,45,1400000,56400000,20300000
800,50,26,18500,597000,547700
801,442,26,5169,356000,1100000
802,441,26,20200,203100,604400
803,50,26,5533,136600,410900
804,471,26,2203,67700,479300
805,303,26,24100,543400,330900
806,439,26,155000,2200000,350000
807,518,26,18100,226500,294200
808,442,26,18100,226500,286200
809,87,26,18500,597000,213900
810,304,18,505600,5700000,21200000
811,155,18,295300,7600000,16200000
812,341,18,109900,3600000,10600000
813,308,18,505600,5700000,12000000
814,409,18,1400000,31200000,11600000
815,394,18,295300,7600000,7300000
816,339,18,505600,5700000,9600000
817,65,18,114200,2300000,7200000
818,225,18,130600,4100000,7400000
819,272,18,59700,2000000,4300000
820,504,35,10000000,331400000,2100000
821,205,35,1600000,46300000,387500
822,449,35,2500000,57200000,566900
823,454,35,1700000,24000000,357300
824,456,35,1100000,14400000,252600
825,435,35,2700000,25100000,583700
826,231,35,2400000,44000000,961800
827,196,35,2200000,36100000,453500
828,525,38,404200,5700000,1800000
829,15,38,404200,5700000,1100000
830,493,38,46200,347700,642700
831,322,38,509700,12000000,556000
832,40,38,509700,12000000,470200
833,338,38,509700,12000000,671000
834,72,38,57300,1000000,537200
835,525,38,404200,5700000,603200
836,525,38,46200,347700,508600
837,66,38,404200,5700000,506300
838,314,10,3000000,26700000,149000000
839,418,10,322700,5500000,35100000
840,215,10,4600000,58500000,34200000
841,154,10,3300000,32900000,33700000
842,427,10,5000000,54500000,33300000
843,427,10,9900000,183700000,27200000
844,531,10,6300000,122600000,32800000
845,171,10,508700,8300000,26100000
846,95,10,1600000,13700000,36000000
847,427,10,9900000,183700000,20400000
848,144,23,3200000,43700000,334900
849,144,23,2900000,59100000,87700
850,144,23,1300000,28800000,98800
851,144,23,1300000,38900000,172400
852,144,23,457200,14900000,55900
853,144,23,34,292,9436
854,144,23,24,227,8514
855,144,23,15,138,6454
856,537,44,36600000,963200000,168400000
857,537,44,36600000,963200000,161300000
858,537,44,36600000,963200000,180100000
859,0,44,4600000,79800000,209000000
860,222,44,16200000,196200000,125100000
861,536,44,36600000,963200000,145900000
862,284,44,1900000,44100000,100000000
863,316,44,1700000,17800000,150700000
864,416,44,1600000,33900000,110200000
865,296,44,3400000,44600000,129800000
866,116,27,22100,631100,28700
867,104,27,22100,631100,6423
868,336,27,1197,6691,497
869,332,27,42600,940800,21500
870,354,27,12200,75100,5507
871,286,27,791,2990,924
872,93,27,791,2990,538
873,534,27,22100,631100,2765
874,94,3,61700,2000000,18900000
875,363,3,19400,2300000,8700000
876,531,3,21400,879100,3200000
877,427,3,47000,1300000,3400000
878,531,3,6135,272000,2100000
879,396,3,130700,3500000,4300000
880,427,3,47000,1300000,1900000
881,428,3,11000,219100,2800000
882,312,3,4027,281200,867200
883,428,3,8436,177800,2100000
884,475,1,851600,9600000,2100000
885,512,1,22500,482500,2300000
886,515,1,30100,514700,1400000
887,443,1,60500,1600000,757800
888,410,1,7816,533300,842200
889,480,1,30100,1100000,905700
890,297,1,7947,112700,989000
891,521,1,16900,1700000,1800000
892,434,1,35700,796400,779800
893,489,1,13600,326900,984800
