Unnamed: 0,music,hastag_data,author_follower,author_heart,play
485,30,6,109500,2200000,18200
486,147,6,109500,2200000,19200
487,272,6,109500,2200000,9219
488,147,6,109500,2200000,6972
489,17,6,109500,2200000,8035
490,118,6,233,1075,1122
491,139,6,109500,2200000,2963
492,301,6,2977,8046,1614
493,78,42,1800000,14200000,115400
494,45,42,1500000,21900000,83200
495,45,42,3400000,25900000,469600
496,191,42,1800000,14200000,126800
497,176,42,6400000,144200000,207800
498,316,42,1100000,22000000,647100
499,517,42,1800000,108200000,1300000
500,275,42,3600000,43700000,3600000
501,440,42,4300000,87000000,10500000
502,272,42,2800000,76900000,1400000
503,164,42,1800000,108200000,362600
504,235,42,1500000,21900000,61600
505,316,42,1400000,8700000,75500
506,84,42,4300000,87000000,2100000
507,228,42,1800000,14200000,160800
508,58,42,2000000,80700000,605900
509,190,42,7300000,61100000,887100
510,275,42,3300000,35700000,377200
511,85,42,1400000,82300000,258700
512,386,42,1400000,25900000,600000
513,228,42,1800000,37400000,1600000
514,210,42,3600000,43700000,179200
515,84,42,3600000,43700000,139400
516,210,42,1500000,21900000,67700
517,210,42,1500000,9300000,56200
518,210,42,7300000,61100000,1600000
519,309,42,1400000,25900000,334800
520,135,42,3600000,43700000,355900
521,156,42,4100000,32100000,78500
522,68,42,4900000,23100000,247200
523,156,42,1800000,14200000,172900
524,274,42,4900000,23100000,407100
525,34,42,8500000,104600000,2000000
526,68,42,1900000,47500000,169900
527,68,42,7300000,61100000,718500
528,34,42,6400000,144200000,760800
529,68,42,1800000,108200000,1000000
530,34,42,1500000,21900000,66400
531,127,42,1500000,9300000,51800
532,122,42,1800000,14200000,125300
533,34,42,3500000,78100000,3200000
534,122,42,2200000,52200000,134500
535,529,42,3200000,29600000,228600
536,20,42,3000000,50100000,2500000
537,122,42,4100000,32100000,130300
538,265,42,2100000,56900000,501600
539,122,42,1000000,77600000,1100000
540,316,42,2200000,12900000,262200
541,265,42,1500000,21900000,136900
542,265,42,1800000,14200000,138300
543,425,42,3000000,142100000,924200
544,271,42,1100000,24800000,125500
545,276,42,3300000,35700000,498200
546,28,42,1400000,25900000,199900
547,365,42,1500000,16000000,164600
548,276,42,3600000,43700000,136600
549,505,42,1500000,16000000,94000
550,135,42,1100000,22000000,1300000
551,288,42,2700000,21900000,326700
552,54,42,53600,11800000,176000
553,135,42,1800000,14200000,407300
554,274,42,1000000,77600000,148600
555,316,42,448300,15800000,293500
556,346,42,1900000,14900000,440300
557,117,42,1500000,21900000,94400
558,282,42,3300000,121000000,3700000
